"Strategy","Benefit","Best.Cost","Min.Feas","Exp.Benefit","CE","CE_rank","ExpBenefit_rank","Cost_rank"
"S1",900.319027526622,13886934,0.64,576.204177617038,41.4925409465501,4,10,7
"S2",302.835724331927,6676627,0.51,154.446219409283,23.1323719910192,12,16,5
"S3",348.024753867792,17119817,0.74,257.538317862166,15.0432868448399,16,14,8
"S4",232.80452079566,4535076,0.56,130.37053164557,28.7471547655584,9,17,2
"S5",1082.58929073739,18514291,0.58,627.901788627687,33.9144387774659,6,9,9
"S6",1003.89097975688,2032309,0.5,501.945489878441,246.982860322146,1,11,1
"S7",545.890395820776,5967926,0.68,371.205469158127,62.2000790824362,2,12,4
"S8",191.618645770545,5309326,0.83,159.043475989552,29.9554926537854,8,15,3
"S9",304.082147107464,6831409,0.94,285.837218281016,41.8416198299671,3,13,6
"S10",1450.59708659835,20546600,0.54,783.32242676311,38.1241872992666,5,6,10
"S11",1103.12250351617,31006751,0.69,761.15452742616,24.5480259259076,11,7,12
"S12",1597.62155917219,34433534,0.57,910.644288728149,26.44643703223,10,5,13
"S13",1318.37090616837,22595870,0.55,725.103998392606,32.0901119714623,7,8,11
"S14",1645.96644564999,47941570,0.64,1053.41852521599,21.9729667846922,13,2,15
"S15",1639.34950773558,45645237,0.56,918.035724331927,20.1124100709988,14,4,14
"S16",1682.8801888688,64197904,0.61,1026.55691520997,15.9905051605729,15,3,16
"S17",1756.76996182439,80873715,0.66,1159.4681748041,14.3367740038169,17,1,17
