Strategy,Grassland species,Burrow and den species,Sand dune species,Wetland and shorebird species,Amphibians,Fish species,Healthy prairie landscape
Baseline,29.5,29.5,41.25,38.734177215189874,38.333333333333336,43.57142857142857,31.11111111111111
S1,39.1,38.268,44.45,43.230379746835446,44.022222222222226,46.77142857142857,40
S2,33.733000000000004,32.56,42.20625,40.25126582278481,41.28,43.57142857142857,34.62444444444444
S3,36.752,32.978,43.1,38.734177215189874,38.333333333333336,43.57142857142857,35.63333333333333
S4,31.740000000000002,30.452,41.25,43.065316455696205,45.501333333333335,49.97142857142857,35.15555555555555
S5,43.245999999999995,40.23,47.4125,46.6706329113924,49.095555555555556,49.785714285714285,43.03333333333333
S6,38.25,38.0546875,46.875,45,45.27777777777778,47.14285714285714,39.44444444444444
S7,36.64,40.856,42.95,42.31493670886076,43.77333333333333,47.457142857142856,38.440000000000005
S8,31.575,40.29,43.84375,43.9453164556962,42.483333333333334,46.535714285714285,33.97
S9,36.08,40.722153846153844,47.7125,42.54177215189873,41.46666666666667,45.58571428571428,32.88666666666666
S10,46.024,43.81,50.16,48.58405063291139,49.733333333333334,50.51428571428571,44.611111111111114
S11,43.714,41.23,48.15,43.232278481012656,45.61666666666667,47.51428571428571,42.61111111111111
S12,49.336,45.46,50.29875,49.59303797468354,52.266666666666666,51.71428571428571,46.31111111111111
S13,43.69,41.05,48.8125,47.29746835443038,48.84444444444445,49.857142857142854,42.41666666666667
S14,51.58,48.379999999999995,51.01,50.6673417721519,52.91111111111111,53.17142857142857,47.46666666666667
S15,48.708,45.124,49.79,50.21772151898735,51.711111111111116,53.57142857142857,45.422222222222224
S16,47.678,46.519,52.230000000000004,49.884050632911396,52.22777777777778,54.028571428571425,47.03888888888889
S17,51.147999999999996,47.848,53.13,51.93417721518988,54.46666666666667,55.357142857142854,50.544444444444444
